SampleID	TRA.reads	TRB.reads	TRG.reads	TRD.reads	TRA.rpm	TRB.rpm	TRG.rpm	TRD.rpm	MillionsOfReads	TRAV.fpkm	TRBV.fpkm	TRDV.fpkm	TRGV.fpkm	CD247.fpkm	CD3D.fpkm	CD3E.fpkm	CD3G.fpkm	Type
ALCL.Rab.SRR1213026	1966	1605	97	104	33.8284469	27.61681448	1.669053585	1.789500751	58.116768	120.026	154.353	66.6411	20.5308	44.0199	203.182	70.7429	105.274	04.ALCL
ALCL.Rab.SRR1213029	180	170	15	16	3.30001177	3.116677783	0.275000981	0.29333438	54.54526	14.1222	18.7429	10.27	2.88434	4.391	41.7792	7.82718	18.2128	04.ALCL
ALCL.Rab.SRR1213032	2489	1441	21	42	45.82507767	26.53030812	0.386631832	0.773263665	54.315238	39.8338	74.4533	19.1044	7.76678	15.8457	70.1138	43.8406	39.0026	04.ALCL
ALCL.Rab.SRR1213037	1254	169	11	70	24.54367457	3.307720097	0.215295391	1.370061579	51.092594	150.604	31.5885	3.32394	13.7055	33.8086	345.592	111.014	243.646	04.ALCL
ALCL-Cellline.Fe_PD	7	1	1	1	0.095210638	0.01360152	0.01360152	0.01360152	73.521196	2.48819	7.6494	0	2.20175	0.0584136	3.07979	172.084	0.219908	05.ALCL_Cellline
ALCL-Cellline.JB6	1635	9091	2437	17	709.2235499	3943.456448	1057.111799	7.374189815	2.305338	10.6389	71.4145	0	6.23206	0	212.211	2.32648	4.85049	05.ALCL_Cellline
ALCL-Cellline.Karpas299	7	847	0	0	0.093743387	11.34294982	0	0	74.671934	0.901614	317.402	0	0.485485	0.0100969	56.7202	30.2985	0.213391	05.ALCL_Cellline
ALCL-Cellline.L82	17	1502	0	3	0.218825574	19.33388311	0	0.038616278	77.687446	2.27375	309.987	0	1.985	0	9.29622	26.8871	0.986548	05.ALCL_Cellline
ALCL-Cellline.MAC1	41	2	0	1	0.568926532	0.027752514	0	0.013876257	72.065544	11.5026	0.160548	0	5.07164	0	0.137593	107.445	0.194497	05.ALCL_Cellline
ALCL-Cellline.SUDHL1	2	93	0	0	0.024575767	1.142773164	0	0	81.38098	5.48131	16.1203	0	0.379227	0	92.6891	0.236745	0.0744362	05.ALCL_Cellline
ALCL-Cellline.TS	1	1	0	0	0.013145657	0.013145657	0	0	76.070752	3.25357	0.328053	0	0.150015	0.0103467	70.519	0.194659	0.0234355	05.ALCL_Cellline
gdTL-95-9388	73	19	560	55	0.961294289	0.250199883	7.374312352	0.72426282	75.939284	3.50791	3.56468	880.175	297.01	89.6653	1523.13	530.785	530.046	09.gdTL
NK.Cellline.KHYG1	4	1	0	1	0.057344942	0.014336236	0	0.014336236	69.753318	1.88286	3.69344	0.23041	23.9234	27.6103	0.939612	85.3528	275.014	08.NK_Cell_line
NK.Cellline.NKYS	1	1	0	0	0.008717798	0.008717798	0	0	114.707866	19.4296	0.393753	0.0748243	1.97643	0.0921211	0	79.1778	0.414417	08.NK_Cell_line
NK.Cellline.PMIG-NK92	1	0	0	0	0.011753959	0	0	0	85.077716	1.97963	0.296943	0.0913285	28.452	17.8737	0.197228	78.7943	355.987	08.NK_Cell_line
NK.Cellline.PRDM1-NK92	0	1	0	0	0	0.011412199	0	0	87.62553	2.21913	1.08956	0.0856535	25.8397	16.3214	0.797609	79.2671	442.165	08.NK_Cell_line
NKCL.Chan-12	1070	4480	39	3	13.34848357	55.88897794	0.486533513	0.037425655	80.158918	256.682	1001.09	0.468168	16.0707	1.75974	7.33519	61.8127	5.76611	07.NKCL
NKCL.Chan-147	1260	864	19	50	15.82175522	10.84920358	0.238582023	0.627847429	79.637182	6.78966	16.983	0.961845	27.9666	6.34068	24.5794	54.5518	310.874	07.NKCL
NKCL.Chan-148	63	81	2	5	0.719620189	0.925225957	0.022845085	0.057112713	87.546182	1.25286	12.3885	0.467425	4.98383	2.08629	5.36353	76.1445	320.887	07.NKCL
NKCL.Chan-190	251	247	16	41	3.014597281	2.96655589	0.192165564	0.492424257	83.261536	4.73782	6.47688	3.57429	20.7827	5.22742	15.2394	72.5848	17.033	07.NKCL
NKCL.Chan-454	1234	1075	25	49	14.01172202	12.20632186	0.28386795	0.556381182	88.069118	14.4224	18.5784	1.25759	10.6003	6.65065	57.5159	46.0021	168.642	07.NKCL
NKCL.Chan-528	111	190	10	13	1.330071949	2.276699732	0.119826302	0.155774192	83.454132	4.09981	7.43265	0.0927759	16.7077	3.54626	10.1916	51.7998	223.337	07.NKCL
NKCL.Chan-53	1232	5829	27	33	13.04137146	61.70304729	0.285809277	0.34932245	94.468592	194.876	1904.73	1.02404	6.02267	75.9186	443.242	79.2698	185.915	07.NKCL
NKCL.Chan-565	120	77	1	0	1.123501102	0.720913207	0.009362509	0	106.808974	2.19403	1.23814	0.070353	11.6174	57.4453	2.06815	53.4541	430.248	07.NKCL
NKCL.Chan-579	434	574	15	39	4.556576448	6.026439818	0.157485361	0.409461939	95.246948	6.15984	12.3909	1.37434	17.9053	8.42199	30.4246	63.5554	212.717	07.NKCL
NKCL-4955	55	95	4	5	0.687603364	1.187678538	0.050007517	0.062509397	79.987974	2.63616	6.0454	4.96634	28.0946	1.58015	15.607	605.945	257.37	07.NKCL
NKCL-8878	20	25	0	2	0.269184112	0.33648014	0	0.026918411	74.29859	2.01819	3.21733	0.673612	37.4422	0.735505	3.31636	461.205	182.515	07.NKCL
NKCL-88-9378	5	8	0	2	0.063416889	0.101467023	0	0.025366756	78.84335	2.67196	0.363224	0.649224	15.7867	0.160902	4.61973	214.883	207.469	07.NKCL
NKCL-89-1182	756	700	9	29	10.66343912	9.873554744	0.126945704	0.409047268	70.896452	16.8669	37.9272	1.40912	22.4461	17.1674	623.087	103.993	112.3	07.NKCL
NKCL-91-1186	318	338	6	29	3.772684332	4.009960076	0.071182723	0.344049829	84.290116	5.89462	21.6777	1.54898	17.7895	3.6492	57.9464	60.599	214.022	07.NKCL
NKCL-Hk10	1	0	0	0	0.012814226	0	0	0	78.03827	0.917861	0.114756	0.278677	16.4546	0.0789029	0.301487	109.861	385.179	07.NKCL
NKCL-Hk7	496	670	19	51	6.485218109	8.760274462	0.248425694	0.666826862	76.481622	36.4849	46.1643	2.79224	16.4857	15.5653	89.6104	72.2752	302.999	07.NKCL
NKCL-LKK	262	266	12	20	3.110334388	3.157820409	0.142458064	0.237430106	84.235316	8.56674	16.5152	2.79537	16.0365	6.75987	54.3779	71.835	320.88	07.NKCL
pNOS.Rab.SRR1213005	1183	1616	47	154	21.32292626	29.1275138	0.847149226	2.775765548	55.48019	461.185	811.513	51.9035	21.436	39.2678	73.3385	65.0856	131.144	03.PTCL-NOS
pNOS.Rab.SRR1213008	2569	2088	52	401	47.33956614	38.47606621	0.958216208	7.389321145	54.267502	646.225	145.566	42.889	18.6151	70.8446	139.056	84.3593	124.7	03.PTCL-NOS
pNOS.Rab.SRR1213011	3321	2776	60	107	63.34371743	52.94855754	1.144421272	2.040884603	52.428246	630.498	823.754	47.1691	29.4684	64.1966	160.241	63.3127	146.492	03.PTCL-NOS
pNOS.Rab.SRR1213014	947	1126	42	38	28.37131854	33.73400705	1.258284455	1.13844784	33.37878	606.448	133.876	13.8612	32.8232	58.1939	474.491	85.6418	198.67	03.PTCL-NOS
pNOS.Rab.SRR1213024	2104	1311	131	184	46.3630787	28.88878145	2.886674577	4.054565818	45.380938	148.088	165.124	37.0754	31.1758	50.4467	165.76	60.6874	141.363	03.PTCL-NOS
pNOS.Rab.SRR1213025	427	288	22	14	8.878028816	5.987991333	0.457416005	0.291082912	48.096262	15.2936	11.6816	7.37404	5.75282	4.63152	236	64.2518	16.715	03.PTCL-NOS
pNOS.Rab.SRR1213028	3592	2073	46	51	74.1382165	42.78633709	0.949431503	1.05263058	48.450046	135.615	540.603	2.23863	18.175	44.496	236.947	44.8627	152.171	03.PTCL-NOS
pNOS.Rab.SRR1213031	20	21	1	1	0.278048241	0.291950654	0.013902412	0.013902412	71.929964	10.0727	17.0015	0	3.36687	1.69968	4.50175	127.057	3.27867	03.PTCL-NOS
pNOS.Rab.SRR1213035	2111	1640	465	586	37.14925716	28.86062612	8.183043383	10.31239446	56.824824	129.399	3527.44	2.43589	291.894	77.678	328.79	86.8675	260.76	03.PTCL-NOS
pNOS.Rab.SRR1213038	1233	3076	176	102	21.28323806	53.0958964	3.037996673	1.760657163	57.932914	415.264	716.329	11408.9	64.0623	88.2739	168.011	153.565	201.719	03.PTCL-NOS
pNOS-S90-4769	3438	1954	163	43	45.60046259	25.91719136	2.161976557	0.570337374	75.393972	700.987	310.615	0.480968	14.5687	72.3234	1377.19	836.509	500.107	03.PTCL-NOS
pNOS-S93-6748	298	291	0	423	5.682588313	5.549104695	0	8.06622435	52.440892	14.2975	18.2355	48.4436	1.08014	12.8648	469.297	92.5515	141.11	03.PTCL-NOS
pNOS-S98-1772	552	1498	95	14	7.667555038	20.80796639	1.319597334	0.194466976	71.991658	49.7482	117.12	0.233308	46.305	3.02425	426.961	319.977	204.587	03.PTCL-NOS
pNOS-SC03-4238	1081	129	1801	2149	11.66861144	1.392461494	19.44048954	23.19689729	92.6417	3.17134	1.22586	500.084	150.311	102.938	865.757	501.725	482.19	03.PTCL-NOS
pNOS-SPECS-3375	4889	14680	2141	48	49.62114776	148.9953874	21.73018559	0.487178379	98.52654	846.695	1687.73	0.300863	391.961	77.9574	460.915	249.543	676.403	03.PTCL-NOS
pNOS-SPECS-3379	2249	2264	42	109	25.33349878	25.50246387	0.473102245	1.227812969	88.775736	30.4874	62.4738	2.0436	9.00625	20.727	146.256	72.2235	158.091	03.PTCL-NOS
pNOS-SPECS-3390	512	1408	2	38	7.879374168	21.66827896	0.030778805	0.584797302	64.97978	31.2023	370.334	0	4.46331	27.0571	1434.93	175.705	488.051	03.PTCL-NOS
pNOS-SPECS-3392	724	2478	9	105	7.52024103	25.7391675	0.093483659	1.090642691	96.27351	36.934	247.968	0.602336	4.28286	57.3141	533.07	103.689	120.863	03.PTCL-NOS
pNOS-SPECS-3393	3892	5201	39	293	48.93691345	65.39591132	0.490375032	3.6840996	79.530966	64.9368	92.2386	5.22325	5.02478	46.8237	235.842	126.162	387.658	03.PTCL-NOS
