pubid.Publish	Type	Lab	TRA.FPKM1	TRA.FPKM2	TRA.FPKM3	TRA.FPKM.p1	TRA.FPKM.p2	TRA.FPKM.p3	TRA.top2	TRB.FPKM1	TRB.FPKM2	TRB.FPKM3	TRB.FPKM.p1	TRB.FPKM.p2	TRB.FPKM.p3	TRB.top2	TRA.FPKM.stat	TRB.FPKM.stat	Strand1	TRA.CDR3.1	TRA.CDR3.2	TRA.CDR3.3	TRA.p1	TRA.p2	TRA.p3	Strand2	TRB.CDR3.1	TRB.CDR3.2	TRB.CDR3.3	TRB.p1	TRB.p2	TRB.p3	TRA.CDR3.stat	TRB.CDR3.stat	TRA.con	TRB.con	cons	Vα_ratio	Vβ_ratio	Clonality_based_on_V-seg
AITL-30	AITL	Rohr	111.53	65.6695	50.5711	0.135022265	0.079501879	0.061223209	0.214524144	146.112	100.337	94.3114	0.103904142	0.071352318	0.067067353	0.17525646	FALSE	FALSE	TRA	11	4	3	0.024017467	0.008733624	0.006550218	TRB	4	4	4	0.005108557	0.005108557	0.005108557	FALSE	FALSE	TRUE	TRUE	TRUE	3.503967681	2.613141147	FALSE
AITL-31	AITL	Rohr	11.988	10.4319	10.3945	0.083720436	0.072853121	0.072591931	0.156573557	150.01	20.6846	19.6088	0.42924742	0.059188129	0.056109771	0.488435549	FALSE	FALSE	TRA	10	7	4	0.058823529	0.041176471	0.023529412	TRB	66	7	5	0.379310345	0.040229885	0.028735632	TRUE	TRUE	FALSE	FALSE	FALSE	2.156900284	8.704999796	FALSE
AITL-32	AITL	Rohr	168.759	37.5053	15.3072	0.397884409	0.088426538	0.036089905	0.486310947	46.4784	29.1515	28.6285	0.105623272	0.066247479	0.065058949	0.17187075	TRUE	FALSE	TRA	169	78	4	0.312962963	0.144444444	0.007407407	TRB	11	5	3	0.025229358	0.01146789	0.006880734	TRUE	FALSE	TRUE	TRUE	TRUE	13.47498563	2.641769565	TRUE
AITL-33	AITL	Rohr	36.9286	24.3873	21.6924	0.113564614	0.074997002	0.066709516	0.188561616	249.278	62.0691	51.2965	0.334382212	0.083259666	0.06880927	0.417641878	FALSE	FALSE	TRA	32	13	10	0.036240091	0.014722537	0.011325028	TRB	322	12	9	0.328236493	0.012232416	0.009174312	FALSE	TRUE	TRUE	FALSE	FALSE	2.826607475	6.069558352	FALSE
AITL-34	AITL	Rohr	94.4543	80.8734	27.7765	0.24274221	0.207840065	0.071384034	0.450582276	280.049	58.8776	22.1876	0.485965032	0.102169459	0.038501826	0.58813449	FALSE	TRUE	TRA	117	105	9	0.246315789	0.221052632	0.018947368	TRB	63	14	11	0.276315789	0.061403509	0.048245614	TRUE	TRUE	FALSE	TRUE	TRUE	6.312087556	15.27549622	TRUE
AITL-35	AITL	Rohr	79.9759	11.6816	5.56441	0.462055027	0.067489606	0.03214798	0.529544633	193.71	18.6094	11.5596	0.596719055	0.057325815	0.035609073	0.654044869	TRUE	TRUE	TRA	66	60	25	0.184357542	0.167597765	0.069832402	TRB	249	8	7	0.6	0.019277108	0.01686747	TRUE	TRUE	TRUE	TRUE	TRUE	16.47209677	18.36736565	TRUE
AITL-36	AITL	Rohr	22.1261	19.0568	17.3977	0.075442924	0.064977593	0.059320592	0.140420516	83.9725	34.0634	27.7684	0.185533037	0.075261378	0.06135289	0.260794415	FALSE	FALSE	TRA	14	5	4	0.057142857	0.020408163	0.016326531	TRB	33	5	5	0.141025641	0.021367521	0.021367521	FALSE	TRUE	TRUE	FALSE	FALSE	2.367146232	4.250727446	FALSE
AITL-37	AITL	Rohr	217.503	177.311	25.5837	0.358250664	0.292050148	0.042139085	0.650300812	53.0175	30.4213	24.6541	0.154448797	0.088622308	0.071821495	0.243071105	TRUE	FALSE	TRA	172	97	9	0.386516854	0.217977528	0.020224719	TRB	15	12	8	0.064102564	0.051282051	0.034188034	TRUE	TRUE	TRUE	FALSE	TRUE	15.43224788	3.384378258	TRUE
AITL-38	AITL	Rohr	206.453	17.1681	9.5707	0.658573374	0.054765266	0.030529991	0.713338641	367.815	35.4662	19.4293	0.61502335	0.059303022	0.032487727	0.674326373	TRUE	TRUE	TRA	650	53	11	0.396825397	0.032356532	0.006715507	TRB	1319	159	33	0.54302182	0.065459037	0.013585838	TRUE	TRUE	TRUE	TRUE	TRUE	23.36517705	20.75634223	TRUE
AITL-39	AITL	Rohr	1083.33	61.9806	21.6752	0.890661265	0.050957436	0.017820296	0.941618702	589.939	28.909	7.88444	0.852583382	0.04177946	0.01139464	0.894362842	TRUE	TRUE	TRA	3367	240	35	0.71883006	0.051238258	0.007472246	TRB	2258	112	19	0.739600393	0.036685228	0.006223387	TRUE	TRUE	TRUE	TRUE	TRUE	52.83967853	78.48978494	TRUE
AITL-4	AITL	Rohr	244.434	158.6	132.066	0.126868229	0.082317931	0.068546027	0.20918616	464.956	231.434	222.968	0.189060153	0.094105566	0.090663126	0.283165719	FALSE	FALSE	TRA	112	68	65	0.067348166	0.040889958	0.039085989	TRB	115	100	96	0.049848288	0.043346337	0.041612484	TRUE	FALSE	FALSE	TRUE	FALSE	3.051761998	3.123273295	FALSE
AITL-40	AITL	Rohr	328.163	54.3547	29.9106	0.661088042	0.109498152	0.060255239	0.770586194	1007.78	19.6317	15.3586	0.852358869	0.016604074	0.012989977	0.868962943	TRUE	TRUE	TRA	1482	120	47	0.511917098	0.041450777	0.016234888	TRB	2117	40	30	0.646017699	0.012206286	0.009154715	TRUE	TRUE	TRUE	TRUE	TRUE	12.78870033	66.89487974	TRUE
AITL-5	AITL	Palomero	125.376	46.9567	32.8093	0.329538664	0.123421135	0.086236065	0.452959799	2111.12	50.2398	26.7686	0.871881047	0.020748763	0.011055286	0.89262981	FALSE	TRUE	TRA	572	114	39	0.320987654	0.063973064	0.021885522	TRB	1742	18	18	0.788235294	0.008144796	0.008144796	TRUE	TRUE	FALSE	TRUE	TRUE	5.25255644	80.74235485	TRUE
AITL-6	AITL	Palomero	1013.53	91.9137	47.6657	0.675072211	0.061220077	0.031748236	0.736292289	163.987	55.112	52.3859	0.217628268	0.073139512	0.069521686	0.29076778	TRUE	FALSE	TRA	1207	104	49	0.685017026	0.059023837	0.027809308	TRB	28	17	17	0.041666667	0.025297619	0.025297619	TRUE	FALSE	TRUE	TRUE	TRUE	23.19159689	4.182404044	TRUE
AITL-7	AITL	Palomero	200.162	109.729	52.0188	0.182624167	0.100114743	0.047461007	0.282738911	178.49	132.045	124.964	0.105512344	0.078056908	0.073871055	0.183569252	FALSE	FALSE	TRA	125	18	10	0.093632959	0.013483146	0.007490637	TRB	97	20	17	0.043911272	0.009053871	0.00769579	TRUE	FALSE	FALSE	TRUE	FALSE	5.957288519	2.484995679	FALSE
AITL-8	AITL	Palomero	46.6951	34.8497	30.9902	0.142764653	0.106548767	0.09474881	0.24931342	51.3852	48.2711	45.7286	0.085383276	0.080208788	0.07598409	0.165592064	FALSE	FALSE	TRA	367	29	21	0.309966216	0.024493243	0.017736486	TRB	44	31	31	0.052194543	0.036773428	0.036773428	TRUE	FALSE	FALSE	TRUE	FALSE	2.631309253	2.179299169	FALSE
AITL-9	AITL	Palomero	208.186	41.5044	23.3784	0.433963644	0.086515907	0.048732267	0.520479551	45.877	35.9263	32.8256	0.113475515	0.088862728	0.081193231	0.202338243	TRUE	FALSE	TRA	3854	249	63	0.849272807	0.054869987	0.013882768	TRB	130	14	14	0.197568389	0.021276596	0.021276596	TRUE	FALSE	TRUE	TRUE	TRUE	10.68038873	2.492058028	TRUE
ALCL-1	ALCL	Crescenzo	1310.36	68.9052	32.4982	0.927603344	0.048777965	0.023005463	0.976381309	510.051	10.8747	0.870617	0.976508985	0.020819962	0.001666824	0.997328946	TRUE	TRUE	TRA	887	8	2	0.973655324	0.008781559	0.00219539	TRB	363	1	1	0.986413043	0.002717391	0.002717391	TRUE	TRUE	TRUE	TRUE	TRUE	42.44127982	598.3408318	TRUE
ALCL-12	ALCL	Crescenzo	205.068	93.1097	77.8264	0.148614816	0.067477524	0.056401565	0.216092341	298.896	151.175	119.445	0.153402033	0.077587363	0.061302613	0.230989396	FALSE	FALSE	TRA	10	10	6	0.006715917	0.006715917	0.00402955	TRB	10	8	7	0.004705882	0.003764706	0.003294118	FALSE	FALSE	TRUE	TRUE	TRUE	3.831318165	3.768018753	FALSE
ALCL-16	ALCL	Crescenzo	299.262	20.0774	7.93464	0.766141062	0.05140018	0.020313483	0.817541241	1518.76	12.6804	9.50318	0.952393918	0.007951708	0.005959316	0.960345626	TRUE	TRUE	TRA	258	116	15	0.4128	0.1856	0.024	TRB	622	12	6	0.790343075	0.015247776	0.007623888	TRUE	TRUE	TRUE	TRUE	TRUE	40.24623675	161.1503097	TRUE
ALCL-17	ALCL	Crescenzo	175.481	10.6538	6.82747	0.824332805	0.050046882	0.032072461	0.874379687	881.829	21.3327	10.1946	0.922888948	0.022325999	0.010669284	0.945214946	FALSE	TRUE	TRA	146	3	2	0.660633484	0.013574661	0.009049774	TRB	198	11	4	0.761538462	0.042307692	0.015384615	FALSE	TRUE	TRUE	TRUE	TRUE	27.26263169	88.59216644	TRUE
ALCL-18	ALCL	Crescenzo	182.632	55.3404	11.7379	0.588020048	0.178179424	0.037792504	0.766199472	624.371	14.8639	14.8639	0.796747903	0.018967539	0.018967539	0.815715442	FALSE	TRUE	TRA	141	21	3	0.635135135	0.094594595	0.013513514	TRB	197	7	4	0.602446483	0.021406728	0.012232416	FALSE	TRUE	TRUE	TRUE	TRUE	20.27384796	43.00586656	TRUE
ALCL-19	ALCL	Crescenzo	48.7616	32.8012	32.1482	0.090019294	0.060554635	0.059349125	0.150573929	90.8415	87.8844	80.9962	0.084612366	0.081858038	0.075442172	0.166470404	FALSE	FALSE	TRA	4	3	2	0.009237875	0.006928406	0.004618938	TRB	3	3	2	0.005736138	0.005736138	0.003824092	FALSE	FALSE	TRUE	TRUE	TRUE	2.537087613	2.206596112	FALSE
ALCL-20	ALCL	Crescenzo	7.75039	7.47352	7.46995	0.145057657	0.13987571	0.139808893	0.284933367	38.1997	22.7993	20.1001	0.210845177	0.12584189	0.110943519	0.336687067	FALSE	FALSE	TRA	276	32	31	0.329749104	0.03823178	0.037037037	TRB	38	4	4	0.161702128	0.017021277	0.017021277	TRUE	FALSE	FALSE	TRUE	FALSE	2.038020335	3.034761021	FALSE
ALCL-21	ALCL	Crescenzo	34.4409	28.6748	26.3935	0.089024409	0.074119931	0.068223123	0.163144341	2774.04	126.46	48.5986	0.809490918	0.036902215	0.014181528	0.846393134	FALSE	TRUE	TRA	237	14	3	0.486652977	0.028747433	0.006160164	TRB	880	7	6	0.720720721	0.005733006	0.004914005	TRUE	TRUE	FALSE	TRUE	TRUE	2.391334988	59.68278922	TRUE
ALCL-23	ALCL	Crescenzo	22.67	14.5734	12.5286	0.13053372	0.083913547	0.072139601	0.214447267	582.904	22.0178	19.5967	0.683692603	0.025824848	0.022985121	0.709517451	FALSE	TRUE	TRA	111	16	14	0.209433962	0.030188679	0.026415094	TRB	317	5	4	0.554195804	0.008741259	0.006993007	TRUE	TRUE	FALSE	TRUE	TRUE	2.97267053	30.8685544	TRUE
ALCL-24	ALCL	Palomero	1339.19	26.8188	24.6149	0.940664681	0.018837878	0.01728983	0.959502559	2415.95	164.722	47.0991	0.900600936	0.061403915	0.017557273	0.962004851	FALSE	TRUE	TRA	431	28	3	0.879591837	0.057142857	0.006122449	TRB	1395	77	63	0.89023612	0.049138481	0.040204212	FALSE	TRUE	TRUE	TRUE	TRUE	55.49520006	54.79238457	TRUE
ALCL-25	ALCL	Palomero	436.295	7.09486	6.75665	0.904372339	0.014706552	0.014005495	0.919078891	12.0997	10.8042	9.57563	0.121804077	0.108762665	0.096395016	0.230566742	TRUE	FALSE	TRA	240	20	6	0.316622691	0.026385224	0.007915567	TRB	7	2	2	0.026515152	0.007575758	0.007575758	TRUE	FALSE	TRUE	TRUE	TRUE	65.62273612	2.391894841	TRUE
ALCL-26	ALCL	Palomero	85.1371	70.7584	66.4648	0.089718212	0.074565814	0.070041181	0.164284026	3650.08	129.345	115.029	0.75244983	0.02666397	0.023712782	0.7791138	FALSE	TRUE	TRA	39	25	21	0.022687609	0.014543339	0.012216405	TRB	3158	66	52	0.678847807	0.014187446	0.011177988	FALSE	TRUE	TRUE	TRUE	TRUE	2.345534779	32.85627972	TRUE
ALCL-27	ALCL	Palomero	1594.05	86.91	76.1035	0.720157609	0.039264074	0.034381929	0.759421683	1485.58	1156.36	220.3	0.395916222	0.308177064	0.058711307	0.704093285	TRUE	TRUE	TRA	721	130	74	0.477799867	0.086149768	0.049039099	TRB	1186	625	60	0.403264196	0.212512751	0.020401224	TRUE	TRUE	TRUE	TRUE	TRUE	22.08781462	11.99246482	TRUE
ALCL-28	ALCL	Palomero	98.7285	51.9844	50.4861	0.127472745	0.067119364	0.065184843	0.194592109	166.338	99.1375	89.3418	0.149051478	0.088834727	0.080057036	0.237886205	FALSE	FALSE	TRA	29	19	14	0.025043178	0.016407599	0.01208981	TRB	87	40	24	0.074358974	0.034188034	0.020512821	FALSE	TRUE	TRUE	FALSE	FALSE	2.98523554	2.971459048	FALSE
ALCL-29	ALCL	Palomero	1177.28	6.80618	6.77925	0.955189322	0.005522213	0.005500363	0.960711535	4704.8	36.3318	19.8679	0.971996831	0.007506035	0.004104645	0.979502866	TRUE	TRUE	TRA	1159	167	90	0.606806283	0.087434555	0.047120419	TRB	3194	24	5	0.913354304	0.006863025	0.001429797	TRUE	TRUE	TRUE	TRUE	TRUE	174.6633005	238.6327594	TRUE
ALCL-32	ALCL	Palomero	120.026	100.851	70.8932	0.103760558	0.087184077	0.061286038	0.190944635	154.353	150.787	130.309	0.111790992	0.109208297	0.094376996	0.22099929	FALSE	FALSE	TRA	14	12	10	0.007121058	0.006103764	0.00508647	TRB	10	10	9	0.00623053	0.00623053	0.005607477	FALSE	FALSE	TRUE	TRUE	TRUE	3.115630272	2.341664812	FALSE
ALCL-34	ALCL	Palomero	39.8338	31.2503	29.5049	0.082958867	0.065082655	0.061447642	0.148041522	74.4533	59.437	43.4707	0.117482527	0.093787769	0.068593973	0.211270296	FALSE	FALSE	TRA	50	35	25	0.020088389	0.014061872	0.010044194	TRB	10	7	7	0.006939625	0.004857738	0.004857738	FALSE	FALSE	TRUE	TRUE	TRUE	2.409230331	3.080012514	FALSE
ALCL-35	ALCL	Palomero	150.604	20.6118	16.6707	0.487358811	0.066700369	0.053946858	0.55405918	31.5885	26.7533	25.2761	0.131436087	0.11131738	0.105170922	0.242753467	TRUE	FALSE	TRA	1106	39	6	0.881977671	0.031100478	0.004784689	TRB	6	5	4	0.035502959	0.029585799	0.023668639	TRUE	FALSE	TRUE	TRUE	TRUE	10.27046255	2.308180455	TRUE
ALCL-5	ALCL	Crescenzo	713.034	12.9493	9.25563	0.898086746	0.016310014	0.011657731	0.914396761	428.272	7.10714	6.55591	0.824788419	0.013687299	0.012625711	0.838475717	TRUE	TRUE	TRA	640	7	7	0.831168831	0.009090909	0.009090909	TRB	350	12	6	0.800915332	0.027459954	0.013729977	TRUE	TRUE	TRUE	TRUE	TRUE	78.43694054	66.41017647	TRUE
ALCL-6	ALCL	Crescenzo	39.5205	23.1652	18.8982	0.102342648	0.059988814	0.048938952	0.162331462	61.6458	42.7252	34.8925	0.128554402	0.08909792	0.072763829	0.217652322	FALSE	FALSE	TRA	13	3	3	0.08125	0.01875	0.01875	TRB	11	8	5	0.064705882	0.047058824	0.029411765	FALSE	TRUE	TRUE	FALSE	FALSE	3.31701961	2.991215877	FALSE
ALCL-8	ALCL	Crescenzo	127.749	124.176	20.0371	0.366545847	0.35629396	0.057491767	0.722839807	182.43	37.8107	26.0835	0.533578939	0.110590326	0.076290118	0.644169265	TRUE	FALSE	TRA	328	107	8	0.638132296	0.208171206	0.015564202	TRB	274	25	17	0.644705882	0.058823529	0.04	TRUE	TRUE	TRUE	FALSE	TRUE	12.57292722	8.443678954	TRUE
ALCL-9	ALCL	Crescenzo	17.4919	14.5942	11.4109	0.174996215	0.146006424	0.114159372	0.321002639	86.4431	76.4897	40.6409	0.332806015	0.294485416	0.156467503	0.627291432	FALSE	FALSE	TRA	951	592	451	0.404164896	0.25159371	0.191670208	TRB	63	58	41	0.265822785	0.244725738	0.172995781	TRUE	FALSE	FALSE	TRUE	FALSE	2.811881622	4.009084444	FALSE
L82	ALCLLine	ColumbiaU	2.27375	2.2634	1.796	0.259343583	0.258163064	0.20485149	0.517506647	309.987	0.269972	0.138469	0.997921246	0.000869104	0.000445764	0.99879035	FALSE	TRUE	TRA	10	5	1	0.588235294	0.294117647	0.058823529	TRB	1498	1	1	0.997336884	0.000665779	0.000665779	FALSE	TRUE	TRUE	TRUE	TRUE	2.526252784	2240.624053	TRUE
PTCL-NOS-1	PTCL-NOS	Palomero	461.185	352.106	63.86	0.336178883	0.256666201	0.046550481	0.592845083	811.513	423.624	105.544	0.373701566	0.195078763	0.04860299	0.568780329	TRUE	TRUE	TRA	362	267	32	0.306001691	0.22569738	0.027049873	TRB	454	383	14	0.280940594	0.23700495	0.008663366	TRUE	TRUE	TRUE	TRUE	TRUE	12.73553085	11.70257902	TRUE
PTCL-NOS-10	PTCL-NOS	Palomero	415.264	84.3006	80.5249	0.313550266	0.06365222	0.060801331	0.377202486	716.329	247.839	157.275	0.288847504	0.099936868	0.063418473	0.388784372	FALSE	FALSE	TRA	612	9	4	0.496350365	0.00729927	0.00324412	TRB	1832	25	19	0.595578674	0.008127438	0.006176853	TRUE	TRUE	FALSE	FALSE	FALSE	6.203852473	6.130459386	FALSE
PTCL-NOS-11	PTCL-NOS	CityOfHope	700.987	108.536	107.994	0.722825175	0.111917273	0.111358387	0.834742447	310.615	3.98833	3.72571	0.919637265	0.011808241	0.011030703	0.931445506	FALSE	TRUE	TRA	3136	117	9	0.912158232	0.034031414	0.002617801	TRB	1677	53	12	0.858239509	0.027123849	0.006141249	TRUE	TRUE	FALSE	TRUE	TRUE	7.495999778	84.44117497	TRUE
